a (x1),b (x2),y1,y2,y3,y4
0.087394357,0.05772593,0,0,0,1
0.00020004,0.163723345,0,0,0,1
0.047682306,0.473689576,0,0,0,1
-0.004269713,0.148601611,0,0,0,1
0.020247473,0.449541739,0,0,0,1
0.0010002,0.158861471,0,0,0,1
-0.049464809,0.726089109,0,0,0,1
0.00140028,0.588674692,0,0,0,1
0.063487952,0.143619585,0,0,0,1
0.00180036,0.187845075,0,0,0,1
0.0020004,0.596948812,0,0,0,1
-0.07433621,0.332797451,0,0,0,1
-0.104907722,0.365464866,0,0,0,1
0.00260052,0.649093646,0,0,0,1
0.038658681,0.08255288,0,0,0,1
0.0030006,0.601557102,0,0,0,1
0.120792492,0.018060432,0,0,1,0
-0.046355921,0.75582188,0,0,0,1
0.019838419,0.483940949,0,0,0,1
-0.118409299,0.339452225,0,0,0,1
-0.12175889,0.810611138,0,0,0,1
0.144838009,0.3566973,0,0,0,1
-0.070668602,0.344495195,0,0,0,1
0.046460908,0.539499993,0,0,0,1
-0.040099019,0.154916741,0,0,0,1
0.096542336,0.557185396,0,0,0,1
-0.02230813,0.013327857,0,0,1,0
0.00540108,0.78301805,0,0,0,1
0.038967732,0.90105379,0,0,0,1
-0.160809319,0.093591745,0,0,1,0
0.0060012,0.287777553,0,0,0,1
0.137050721,0.586333054,0,0,0,1
0.00640128,0.40032865,0,0,0,1
0.023391643,0.093026022,0,0,1,0
0.00680136,0.228092408,0,0,0,1
0.011630946,0.338318854,0,0,0,1
-0.100492004,0.864691307,0,0,0,1
0.00740148,0.494289836,0,0,0,1
-0.073071809,0.900055004,0,0,0,1
0.00780156,0.386253341,0,0,0,1
-0.038701307,0.484313363,0,0,0,1
0.011634899,0.974998047,0,0,0,1
0.00840168,0.348199944,0,0,0,1
0.00860172,0.559040493,0,0,0,1
-0.106209787,0.108908143,0,0,1,0
0.062719732,0.356661006,0,0,0,1
0.087352691,0.700822683,0,0,0,1
0.111836564,0.708106432,0,0,0,1
0.00960192,0.304898979,0,0,0,1
-0.038929876,0.90346129,0,0,0,1
0.046509,0.496039864,0,0,0,1
0.01020204,0.072515584,0,0,1,0
0.01040208,0.081629488,0,0,1,0
0.120997528,0.841012302,0,0,0,1
-0.067028681,0.00526805,0,0,1,0
-0.020960247,1.0052135,0,0,0,1
0.064352395,0.472001082,0,0,0,1
0.107228834,0.564548872,0,0,0,1
-0.058054515,0.608926034,0,0,0,1
0.170851411,0.646395805,0,0,0,1
0.075044841,0.677196993,0,0,0,1
0.01220244,0.469133394,0,0,0,1
0.124392965,0.036993179,0,0,1,0
-0.112413345,0.654477576,0,0,0,1
-0.12205293,0.45443727,0,0,0,1
0.042393225,0.940863728,0,0,0,1
0.064979151,0.677931192,0,0,0,1
0.013402681,0.662467386,0,0,0,1
-0.110169393,0.109408324,0,0,1,0
-0.051656332,0.41674085,0,0,0,1
-0.141942413,0.80821229,0,0,0,1
0.150800819,0.584711815,0,0,0,1
0.155098629,0.312011933,0,0,0,1
0.014602921,0.213677155,0,0,0,1
0.014802961,0.712861994,0,0,0,1
0.015003001,0.671192998,0,0,0,1
-0.049922037,0.05905371,0,0,1,0
0.12750064,0.734900117,0,0,0,1
0.015603121,0.241178334,0,0,0,1
0.026149192,0.268577866,0,0,0,1
0.060113361,0.37985391,0,0,0,1
-0.003723261,0.411269543,0,0,0,1
-0.088636248,0.930709654,0,0,0,1
-0.110326318,0.32330106,0,0,0,1
-0.018568063,0.260574404,0,0,0,1
-0.151192846,0.682770568,0,0,0,1
0.017203441,0.545116983,0,0,0,1
-0.083854814,1.025641836,0,0,0,1
-0.021807835,0.68705914,0,0,0,1
-0.046370947,0.835799289,0,0,0,1
0.018003601,0.437224543,0,0,0,1
0.119492109,0.56769977,0,0,0,1
0.128647569,0.326626633,0,0,0,1
0.018603721,0.648761648,0,0,0,1
0.018803761,0.436174223,0,0,0,1
-0.069673242,0.318503146,0,0,0,1
0.019203841,0.030845493,0,0,1,0
-0.002038103,0.306053028,0,0,0,1
-0.126820835,0.58402929,0,0,0,1
0.037724776,0.254177596,0,0,0,1
0.174451008,0.348394076,0,0,0,1
0.130108067,0.000396763,0,0,1,0
0.144122297,0.770811331,0,0,0,1
0.184885964,0.121912722,0,0,1,0
0.020804161,0.23656173,0,0,0,1
0.044229156,0.280968825,0,0,0,1
0.165324557,0.574546206,0,0,0,1
0.16696231,0.702839216,0,0,0,1
0.021604321,0.179847767,0,0,1,0
0.024310641,0.361938358,0,0,0,1
0.022004401,0.07080282,0,0,1,0
0.022204441,0.54425479,0,0,0,1
0.022404481,0.434214171,0,0,0,1
-0.029182478,0.154657515,0,0,1,0
-0.105369084,0.699054988,0,0,0,1
0.092419087,0.708054276,0,0,0,1
-0.039482949,0.422869945,0,0,0,1
-0.063772671,1.079453404,0,0,0,1
-0.110444891,0.620480255,0,1,0,0
-0.015364817,0.552544311,0,0,0,1
0.024004801,0.563867333,0,0,0,1
0.11585615,0.812494916,0,0,0,1
0.137969357,0.781791124,0,0,0,1
0.150653698,0.554820197,0,0,0,1
0.160877959,0.332237732,0,0,0,1
0.006883961,0.829287434,0,0,0,1
0.056372817,0.230043778,0,0,0,1
-0.119999096,0.280926818,0,0,0,1
-0.076238504,0.896939533,0,0,0,1
0.025805161,0.798586646,0,0,0,1
-0.066355339,0.795601927,0,0,0,1
0.026205241,0.248892835,0,0,0,1
0.026405281,0.26567806,0,0,0,1
-0.055709952,0.241684068,0,0,1,0
0.173476165,0.582445855,0,1,0,0
-0.046764113,0.959700567,0,0,0,1
-0.016547179,0.865090687,0,0,0,1
0.034470249,0.989680215,0,0,0,1
0.148070911,0.668582466,0,0,0,1
0.082222825,0.176495015,0,0,1,0
-0.025877445,0.460634304,0,0,0,1
0.012498479,0.184724853,0,0,1,0
0.028405681,0.288233405,0,0,0,1
0.025793745,0.98239555,0,0,0,1
0.073718792,0.003520363,0,0,1,0
0.147165652,0.784234165,0,0,0,1
0.159214732,0.761173569,0,0,0,1
0.079310752,0.049221044,0,0,1,0
0.002458817,0.054664342,0,0,1,0
0.121904259,0.538699996,0,0,0,1
0.171144364,0.551238373,0,0,0,1
0.030206041,0.013727035,0,0,1,0
0.030406081,0.489746584,0,0,0,1
0.031677235,0.68814965,0,1,0,0
0.173670698,0.3161757,0,0,0,1
0.14395853,0.798573506,0,0,0,1
-0.058642481,0.367273681,0,0,0,1
0.031406281,0.123692371,0,0,1,0
0.162424893,0.531839128,0,0,0,1
0.073640452,0.859928502,0,0,0,1
0.032006401,0.976592034,0,0,0,1
0.135229935,0.832747618,0,0,0,1
0.064350207,0.286816275,0,0,0,1
0.032606521,0.93876948,0,0,0,1
-0.099281904,0.080338843,0,0,1,0
-0.08493038,0.409376907,0,0,0,1
0.109634687,0.358583414,0,0,0,1
0.116076542,0.540608032,0,0,0,1
0.133946081,0.874282048,0,0,0,1
0.033806761,0.199814752,0,0,1,0
-0.09955818,0.579415717,0,1,0,0
0.084421282,0.290341798,0,0,0,1
0.034406881,0.606400276,0,1,0,0
0.100195529,0.178645672,0,0,1,0
0.034806961,0.309650637,0,0,0,1
0.161330032,0.650379603,0,1,0,0
0.035207041,0.704949322,0,1,0,0
0.035407081,0.179512986,0,0,1,0
0.035607121,0.852089035,0,0,0,1
-0.063029989,0.756711069,0,0,0,1
0.0941341,0.245119218,0,0,1,0
-0.122524826,0.28030102,0,0,1,0
0.165223068,0.680971813,0,1,0,0
0.1048907,0.802688348,0,0,0,1
-0.11443473,0.372558335,0,0,0,1
0.061314412,0.493182873,0,0,0,1
0.174238758,0.03653987,0,0,1,0
0.049214323,0.298008072,0,0,0,1
0.140568594,0.143060139,0,0,1,0
